Utbildningsanordnare, administrativ enhet;Administrativ enhet, besöksadress;Administrativ enhet, postadress;Administrativ enhet, postnummer;Administrativ enhet, postort;Administrativ enhet, e-post;Telefonnummer;Utbildningsnummer;Utbildningsnamn;Studieort;Studieform;Status;Beviljade platser;Antal Studerande
Svensk Pilotutbildning AB;Göteborg City Airport;Göteborg City Airport;42373;Säve;info@svenskpilotutbildning.se;031-925505;YH00932;Integrerad Helikopterpilotutbildning;Säve;Bunden;Beviljat;14;
Sverigehälsan AB;Nils Forsbergs plats 3;Nils Forsbergs plats 3;21754;Malmö;info@sverigehalsan.se;406986000;YH00312;Socialpedagog;Båstad, Halmstad;Bunden;Beviljat;35;
Sverigehälsan AB;Nils Forsbergs plats 3;Nils Forsbergs plats 3;21754;Malmö;info@sverigehalsan.se;406986000;YH00326;Socialpedagog;Nacka;Distans;Beviljat;35;
Sverigehälsan AB;Nils Forsbergs plats 3;Nils Forsbergs plats 3;21754;Malmö;info@sverigehalsan.se;406986000;YH00326;Socialpedagog;Nacka;Distans;Startat;35;37
Sverigehälsan AB;Nils Forsbergs plats 3;Nils Forsbergs plats 3;21754;Malmö;info@sverigehalsan.se;406986000;YH00570;Socialpedagog;Malmö;Bunden;Beviljat;35;
Sverigehälsan AB;Nils Forsbergs plats 3;Nils Forsbergs plats 3;21754;Malmö;info@sverigehalsan.se;406986000;YH02059;Funktionsnedsättningar med särskild inriktning på kommunikationsstödjande verktyg;Malmö;Distans;Startat;160;44
Sverigehälsan AB;Nils Forsbergs plats 3;Nils Forsbergs plats 3;21754;Malmö;info@sverigehalsan.se;406986000;YH02154;Samsjuklighet med beroende och psykiatriska tillstånd;Malmö;Distans;Startat;160;39
Sverigehälsan AB;Nils Forsbergs plats 3;Nils Forsbergs plats 3;21754;Malmö;info@sverigehalsan.se;406986000;YH02613;Problematisk skolfrånvaro och hemmasittarproblematik;Malmö;Distans;Startat;160;44
Sverigehälsan AB;Nils Forsbergs plats 3;Nils Forsbergs plats 3;21754;Malmö;info@sverigehalsan.se;406986000;YH02635;Socialt förändringsarbete med unga i kriminalitet och utanförskap;Malmö;Distans;Startat;160;42
Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola;Anckargripsgatan 3 ;Anckargripsgatan 3 ;21119;Malmö;info@my.se;0200-210999;YH01142; Programmerare iPhone och Android ;Malmö;Bunden;Beviljat;35;
Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola;Anckargripsgatan 3 ;Anckargripsgatan 3 ;21119;Malmö;info@my.se;0200-210999;YH02278;Maskininlärning On-Premise och On-Device;Malmö;Distans;Startat;140;35
Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola;Anckargripsgatan 3 ;Anckargripsgatan 3 ;21119;Malmö;info@my.se;0200-210999;YH02388;Content Producer ;Malmö;Bunden;Startat;35;35
SYAB Gruppen AB;Hangarvägen 8;Hangarvägen 8;39241;Kalmar;info@syab.se;0480-13740;YH00045;Trafiklärare;Kalmar;Bunden;Beviljat;20;
Sälj & Marknadshögskolan i Sverige AB;;Drottningholmsvägen 37;11242;Stockholm;info@smhsverige.se;010-7094100;YH01658;Influencer marketing;Göteborg;Distans;Startat;80;45
Sälj & Marknadshögskolan i Sverige AB;;Drottningholmsvägen 37;11242;Stockholm;info@smhsverige.se;010-7094100;YH02544;Hållbar affärsutveckling;Solna;Distans;Startat;80;45
Sälj & Marknadshögskolan i Sverige AB - Göteborg;Mölndalsvägen 81;Mölndalsvägen 81;41263;Göteborg;emma.olau@smhsverige.se;010-7094100;YH00091;Digital marknadsförare;Göteborg;Bunden;Beviljat;35;
Sälj & Marknadshögskolan i Sverige AB - Göteborg;Mölndalsvägen 81;Mölndalsvägen 81;41263;Göteborg;emma.olau@smhsverige.se;010-7094100;YH00113;Account Manager IT Sales;Göteborg;Bunden;Beviljat;35;
Sälj & Marknadshögskolan i Sverige AB - Göteborg;Mölndalsvägen 81;Mölndalsvägen 81;41263;Göteborg;emma.olau@smhsverige.se;010-7094100;YH00677;Internationell säljare och marknadsförare;Göteborg;Bunden;Beviljat;35;
Sälj & Marknadshögskolan i Sverige AB - Göteborg;Mölndalsvägen 81;Mölndalsvägen 81;41263;Göteborg;emma.olau@smhsverige.se;010-7094100;YH00685;Key Account Manager;Göteborg;Distans;Beviljat;35;
Sälj & Marknadshögskolan i Sverige AB - Göteborg;Mölndalsvägen 81;Mölndalsvägen 81;41263;Göteborg;emma.olau@smhsverige.se;010-7094100;YH00689;E-commerce Manager;Göteborg;Bunden;Beviljat;35;
Sälj & Marknadshögskolan i Sverige AB - Stockholm;;Drottningholmsvägen 37;11242;Stockholm;info@smhsverige.se;010-7094100;YH00295;Internationell säljare och marknadsförare;Solna, Stockholm;Bunden;Beviljat;35;
Sälj & Marknadshögskolan i Sverige AB - Stockholm;;Drottningholmsvägen 37;11242;Stockholm;info@smhsverige.se;010-7094100;YH00682;Key Account Manager;Stockholm;Distans;Beviljat;35;
Säters kommun;Rådhuset, Åsgränd 2;Box 300;78327;Säter;kommun@sater.se;462255000;YH02338;Specialistundersköterska inom psykiatrisk verksamhet;Säter;Distans;Beviljat;30;
Södertälje kommun, Campus Telge;Kvarnbergagatan 12;Södertälje kommun;15189;Södertälje;anna-karin.pantzar@skolasodertalje.se;08-52301000;YH00370;Trädgårdsmästare, ekologi och entreprenörskap;Järna;Bunden;Startat;20;25
Södertälje kommun, Campus Telge;Kvarnbergagatan 12;Södertälje kommun;15189;Södertälje;anna-karin.pantzar@skolasodertalje.se;08-52301000;YH01146;Säkerhetsingenjör;Södertälje;Bunden;Beviljat;20;
Södertälje kommun, Campus Telge;Kvarnbergagatan 12;Södertälje kommun;15189;Södertälje;anna-karin.pantzar@skolasodertalje.se;08-52301000;YH01486;Kyl- och värmepumptekniker;Södertälje;Bunden;Beviljat;20;
Södertälje kommun, Campus Telge;Kvarnbergagatan 12;Södertälje kommun;15189;Södertälje;anna-karin.pantzar@skolasodertalje.se;08-52301000;YH01761;Underhållstekniker;Södertälje;Distans;Beviljat;20;
Södertälje kommun, Campus Telge;Kvarnbergagatan 12;Södertälje kommun;15189;Södertälje;anna-karin.pantzar@skolasodertalje.se;08-52301000;YH01783;Produktionstekniker och -utvecklare med inriktning hållbar produktion;Södertälje;Bunden;Beviljat;20;
TCC Sverige AB;;Växlarevägen 25, Bv;17063;Solna;yh@tcc.se;702371882;YH00928;Lokförare Göteborg;Göteborg;Bunden;Beviljat;30;
TCC Sverige AB;;Växlarevägen 25, Bv;17063;Solna;yh@tcc.se;702371882;YH00929;Lokförare Hallsberg;Hallsberg;Bunden;Beviljat;30;
TCC Sverige AB;;Växlarevägen 25, Bv;17063;Solna;yh@tcc.se;702371882;YH00929;Lokförare Hallsberg;Hallsberg;Bunden;Startat;30;30
TCC Sverige AB;;Växlarevägen 25, Bv;17063;Solna;yh@tcc.se;702371882;YH01742;Kvalificerad bantekniker ;Nässjö;Bunden;Beviljat;20;8
TCC Sverige AB;;Växlarevägen 25, Bv;17063;Solna;yh@tcc.se;702371882;YH01960;Produktionslogistiker;Skellefteå;Distans;Beviljat;24;
TCC Sverige AB;;Växlarevägen 25, Bv;17063;Solna;yh@tcc.se;702371882;YH01981;Lokförare;Boden;Bunden;Beviljat;30;
TCC Sverige AB;;Växlarevägen 25, Bv;17063;Solna;yh@tcc.se;702371882;YH02424;Lokförare Umeå/Sundsvall/Borlänge;Borlänge, Sundsvall, Umeå, Vännäs;Bunden;Startat;30;32
TEC Travel Education Centre AB;Tulegatan 41;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH00331;TRAC turism- och resekonsult med internationell IATA;Stockholm;Distans;Beviljat;30;
TEC Travel Education Centre AB;Tulegatan 41;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH01125;Management inom hotell och besöksnäring;Stockholm;Bunden;Beviljat;35;
TEC Travel Education Centre AB;Tulegatan 41;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH01125;Management inom hotell och besöksnäring ;Stockholm;Distans;Beviljat;35;
TEC Travel Education Centre AB;Tulegatan 41;Tulegatan 41;11353;Stockholm;linda.sahin@elevera.org;08-4429500;YH02185;Hållbar produktutveckling, Naturturism;Stockholm;Distans;Startat;96;30
Technigo AB;Åsögatan 122;Åsögatan 122;11624;Stockholm;hello@technigo.io;46723610211;YH02652;JavaScript Development;Stockholm;Distans;Beviljat;35;
Technigo AB;Åsögatan 122;Åsögatan 122;11624;Stockholm;hello@technigo.io;46723610211;YH02652;JavaScript Development;Stockholm;Distans;Startat;35;33
Tekniska Högskolan i Jönköping AB;Högskoleområdet, Gjuterigatan 5 Hus E;Att: Mats Kihlman, Box 1026;55111;Jönköping;mats.kihlman@ju.se;036-101000;YH00263;Svetsspecialist - IWS och svetskontrollant;Jönköping;Bunden;Beviljat;15;
Tekniska Högskolan i Jönköping AB;Högskoleområdet, Gjuterigatan 5 Hus E;Att: Mats Kihlman, Box 1026;55111;Jönköping;mats.kihlman@ju.se;036-101000;YH00396;Värdeskapande logistik;Jönköping;Distans;Beviljat;35;
Tekniska Högskolan i Jönköping AB;Högskoleområdet, Gjuterigatan 5 Hus E;Att: Mats Kihlman, Box 1026;55111;Jönköping;mats.kihlman@ju.se;036-101000;YH00403;Automationsingenjör - Robot;Jönköping;Bunden;Beviljat;20;
Tekniska Högskolan i Jönköping AB;Högskoleområdet, Gjuterigatan 5 Hus E;Att: Mats Kihlman, Box 1026;55111;Jönköping;mats.kihlman@ju.se;036-101000;YH00405;Produktionsutveckling;Jönköping, Värnamo;Bunden;Beviljat;20;
Tekniska Högskolan i Jönköping AB;Högskoleområdet, Gjuterigatan 5 Hus E;Att: Mats Kihlman, Box 1026;55111;Jönköping;mats.kihlman@ju.se;036-101000;YH00470;Byggproduktionsledare ;Jönköping;Bunden;Startat;25;26
Tekniska Högskolan i Jönköping AB;Högskoleområdet, Gjuterigatan 5 Hus E;Att: Mats Kihlman, Box 1026;55111;Jönköping;mats.kihlman@ju.se;036-101000;YH00471;Byggproduktionsledare;Malmö;Bunden;Startat;25;13
Tekniska Högskolan i Jönköping AB;Högskoleområdet, Gjuterigatan 5 Hus E;Att: Mats Kihlman, Box 1026;55111;Jönköping;mats.kihlman@ju.se;036-101000;YH00521;Elkraftingenjör;Jönköping;Bunden;Beviljat;20;
Tekniska Högskolan i Jönköping AB;Högskoleområdet, Gjuterigatan 5 Hus E;Att: Mats Kihlman, Box 1026;55111;Jönköping;mats.kihlman@ju.se;036-101000;YH00667;VA-projektör;Jönköping;Distans;Beviljat;20;
Tekniska Högskolan i Jönköping AB;Högskoleområdet, Gjuterigatan 5 Hus E;Att: Mats Kihlman, Box 1026;55111;Jönköping;mats.kihlman@ju.se;036-101000;YH00716;Fastighetsingenjör;Värnamo;Bunden;Beviljat;20;
Tekniska Högskolan i Jönköping AB;Högskoleområdet, Gjuterigatan 5 Hus E;Att: Mats Kihlman, Box 1026;55111;Jönköping;mats.kihlman@ju.se;036-101000;YH00842;Servicetekniker i fält – mobila arbetsmaskiner;Ljungby;Bunden;Beviljat;20;
Tekniska Högskolan i Jönköping AB;Högskoleområdet, Gjuterigatan 5 Hus E;Att: Mats Kihlman, Box 1026;55111;Jönköping;mats.kihlman@ju.se;036-101000;YH00851;Webbutvecklare .NET;Värnamo;Distans;Beviljat;20;
Tekniska Högskolan i Jönköping AB;Högskoleområdet, Gjuterigatan 5 Hus E;Att: Mats Kihlman, Box 1026;55111;Jönköping;mats.kihlman@ju.se;036-101000;YH00948;Automationsingenjör-Mjukvara;Jönköping;Bunden;Beviljat;20;
Tekniska Högskolan i Jönköping AB;Högskoleområdet, Gjuterigatan 5 Hus E;Att: Mats Kihlman, Box 1026;55111;Jönköping;mats.kihlman@ju.se;036-101000;YH01105;3D-printtekniker;Värnamo;Distans;Beviljat;15;
Tekniska Högskolan i Jönköping AB;Högskoleområdet, Gjuterigatan 5 Hus E;Att: Mats Kihlman, Box 1026;55111;Jönköping;mats.kihlman@ju.se;036-101000;YH01173;Platschef - Bygg och anläggning;Malmö;Distans;Beviljat;20;
Tekniska Högskolan i Jönköping AB;Högskoleområdet, Gjuterigatan 5 Hus E;Att: Mats Kihlman, Box 1026;55111;Jönköping;mats.kihlman@ju.se;036-101000;YH01469;Elprojektör;Jönköping;Distans;Beviljat;15;
Tekniska Högskolan i Jönköping AB;Högskoleområdet, Gjuterigatan 5 Hus E;Att: Mats Kihlman, Box 1026;55111;Jönköping;mats.kihlman@ju.se;036-101000;YH01500;Elektroniktekniker;Jönköping;Bunden;Beviljat;15;
Tekniska Högskolan i Jönköping AB;Högskoleområdet, Gjuterigatan 5 Hus E;Att: Mats Kihlman, Box 1026;55111;Jönköping;mats.kihlman@ju.se;036-101000;YH02034;Javautvecklare;Värnamo;Distans;Beviljat;20;
Tension Education AB;Trotzgatan 29;Trotzgatan 29;79172;Falun;info@tension.se;023 298  00;YH00781;PlaygroundSquad, Upplevelse- och Speldesign;Falun;Bunden;Beviljat;12;
Tension Education AB;Trotzgatan 29;Trotzgatan 29;79172;Falun;info@tension.se;023 298  00;YH00783;PlaygroundSquad, Upplevelse- och Spelgrafik;Falun;Bunden;Beviljat;20;
Tension Education AB;Trotzgatan 29;Trotzgatan 29;79172;Falun;info@tension.se;023 298  00;YH00785;PlaygroundSquad, Upplevelse- och Spelprogrammering;Falun;Bunden;Beviljat;15;
TGA Utbildning AB;Jungmansgatan 3;Skeppsgatan 19;21119;Malmö;malmo@thegameassembly.se;723933557;YH00191;Spelanimatör;Malmö;Bunden;Beviljat;16;
TGA Utbildning AB;Jungmansgatan 3;Skeppsgatan 19;21119;Malmö;malmo@thegameassembly.se;723933557;YH00803;Spelprogrammerare;Stockholm;Bunden;Beviljat;35;
TGA Utbildning AB;Jungmansgatan 3;Skeppsgatan 19;21119;Malmö;malmo@thegameassembly.se;723933557;YH00813;Spelprogrammerare;Malmö;Bunden;Beviljat;35;
TGA Utbildning AB;Jungmansgatan 3;Skeppsgatan 19;21119;Malmö;malmo@thegameassembly.se;723933557;YH00817;Leveldesigner;Stockholm;Bunden;Beviljat;16;
TGA Utbildning AB;Jungmansgatan 3;Skeppsgatan 19;21119;Malmö;malmo@thegameassembly.se;723933557;YH00819;Spelgrafiker;Stockholm;Bunden;Beviljat;25;
TGA Utbildning AB;Jungmansgatan 3;Skeppsgatan 19;21119;Malmö;malmo@thegameassembly.se;723933557;YH00822;Technical Artist;Malmö;Bunden;Beviljat;16;
TGA Utbildning AB;Jungmansgatan 3;Skeppsgatan 19;21119;Malmö;malmo@thegameassembly.se;723933557;YH00823;Leveldesigner;Malmö;Bunden;Beviljat;16;
TGA Utbildning AB;Jungmansgatan 3;Skeppsgatan 19;21119;Malmö;malmo@thegameassembly.se;723933557;YH00825;Spelgrafiker;Malmö;Bunden;Beviljat;25;
TGA Utbildning AB;Jungmansgatan 3;Skeppsgatan 19;21119;Malmö;malmo@thegameassembly.se;723933557;YH01917;Procedural Artist;Stockholm;Bunden;Beviljat;16;
Tibro Hantverksakademi;Grönhultsvägen 2;Grönhultsvägen 2;54351;Tibro;tibrohantverksakademi@folkuniversitetet.se;0504-12550;YH00141;Möbelrestaurerare;Tibro;Bunden;Beviljat;8;
Tibro Hantverksakademi;Grönhultsvägen 2;Grönhultsvägen 2;54351;Tibro;tibrohantverksakademi@folkuniversitetet.se;0504-12550;YH00161;Möbeltapetserare;Tibro;Bunden;Beviljat;10;
Tibro Hantverksakademi;Grönhultsvägen 2;Grönhultsvägen 2;54351;Tibro;tibrohantverksakademi@folkuniversitetet.se;0504-12550;YH00190;Projektledare inom möbel- och inredningsbranschen;Tibro;Distans;Beviljat;20;
Tibro Hantverksakademi;Grönhultsvägen 2;Grönhultsvägen 2;54351;Tibro;tibrohantverksakademi@folkuniversitetet.se;0504-12550;YH00745;Träbildhuggare/Träsnidare/Trähantverkare ;Tibro;Bunden;Beviljat;8;
Tibro Hantverksakademi;Grönhultsvägen 2;Grönhultsvägen 2;54351;Tibro;tibrohantverksakademi@folkuniversitetet.se;0504-12550;YH00952;Möbel- och specialsnickare ;Tibro;Bunden;Beviljat;10;
Tibro Hantverksakademi;Grönhultsvägen 2;Grönhultsvägen 2;54351;Tibro;tibrohantverksakademi@folkuniversitetet.se;0504-12550;YH01190;Förgyllare/Dekorationsmålare;Tibro;Bunden;Beviljat;10;
Tibro Hantverksakademi;Grönhultsvägen 2;Grönhultsvägen 2;54351;Tibro;tibrohantverksakademi@folkuniversitetet.se;0504-12550;YH01977;Trähantverk med inriktning mot rekonditionering och återbruk inom möbelbranschen;Tibro;Bunden;Beviljat;10;
Torsta AB;Ösavägen 20;Ösavägen 20;83694;Ås;helen.axelsson@torsta.se;0640-18800;YH00945;Mathantverkare – hantverksbagare, hantverkscharkuterist eller hantverksmejerist ;Ås;Distans;Beviljat;20;
Trafikverket Trafikverksskolan;Banskolevägen 11L;Box 1262;26224;Ängelholm;trafikverksskolan@trafikverket.se;010-1243000;YH00406;Lokförare;Ängelholm;Bunden;Startat;35;36
Trafikverket Trafikverksskolan;Banskolevägen 11L;Box 1262;26224;Ängelholm;trafikverksskolan@trafikverket.se;010-1243000;YH00638;Järnvägstekniker / Kvalificerad kontaktledningstekniker;Ängelholm;Bunden;Beviljat;16;
Trafikverket Trafikverksskolan;Banskolevägen 11L;Box 1262;26224;Ängelholm;trafikverksskolan@trafikverket.se;010-1243000;YH00639;Järnvägstekniker / Kvalificerad signaltekniker;Ängelholm;Bunden;Beviljat;16;
Trafikverket Trafikverksskolan;Banskolevägen 11L;Box 1262;26224;Ängelholm;trafikverksskolan@trafikverket.se;010-1243000;YH01013;Järnvägstekniker / kvalificerad bantekniker;Ängelholm;Bunden;Beviljat;16;
Trelleborgs kommun;St Nicolaiplan 1;Box 20;23121;Trelleborg;yrk.yh@trelleborg.se;0410-733000;YH01865;Vätgas;Trelleborg;Distans;Startat;50;18
Träteknikerutbildning i Hammarö AB;Vedspelsvägen 5B;Vedspelsvägen 5B;66334;Skoghall;jorgen@ttuhammaro.se;46705660558;YH00965;Trätekniker;Skoghall;Bunden;Beviljat;16;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00281;Stödpedagog;Tranås;Distans;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00283;Tandsköterska;Huskvarna, Tranås;Bunden;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00284;Tandsköterska ;Tranås;Distans;Startat;35;46
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00296;Lönespecialist ;Huskvarna;Distans;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00298;Företagssäljare B2B ;Tranås, Vimmerby;Bunden;Beviljat;25;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00303;Arbetsledare inom måltidsservice ;Tranås;Distans;Startat;35;27
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00307;Specialistutbildad undersköterska -  Demensvård;Huskvarna, Tranås;Distans;Startat;35;38
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00320;Hotel & Restaurant Manager ;Borgholm, Jönköping;Distans;Startat;35;28
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00340;Offentlig upphandlare/inköpare;Huskvarna;Distans;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00461;Behandlingspedagog;Lidköping;Bunden;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00463;Behandlingspedagog;Huskvarna;Bunden;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00484;Elkonstruktör;Linköping;Bunden;Beviljat;30;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00485;Energiingenjör;Tranås;Distans;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00553;Socialpedagog;Linköping;Bunden;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00567;Medicinsk Fotterapeut;Tranås;Distans;Beviljat;25;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00588;Account Manager;Linköping;Distans;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00604;Digital marknadsföringsspecialist;Huskvarna;Distans;Startat;35;45
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00611;Specialistundersköterska - Palliativ vård ;Huskvarna;Distans;Startat;35;45
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00612;Specialistundersköterska inom psykiatri ;Helsingborg, Huskvarna, Ljungby, Vimmerby;Distans;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00646;VVS-ingenjör;Bromma, Huskvarna, Skellefteå, Vimmerby, Växjö;Bunden;Beviljat;30;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00657;Arbetsledare inom måltidsservice;Bromma;Distans;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00834;Redovisningsekonom ;Bromma;Bunden;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00961;Systemutvecklare .NET;Linköping, Växjö;Bunden;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH00976;Logistiker ;Linköping;Bunden;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH01038;Specialistutbildad undersköterska - Psykiatri ;Bromma, Katrineholm, Skellefteå;Distans;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH01039;Tullspecialist;Bromma, Helsingborg;Bunden;Beviljat;28;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH01053;IT-projektledare;Huskvarna;Distans;Beviljat;30;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH01060;Optikerassistent med klinisk inriktning;Huskvarna;Distans;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH01074;Logistiker;Bromma;Bunden;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH01084;Produktionstekniker;Linköping;Distans;Beviljat;20;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH01097;IT-säkerhetstekniker;Linköping;Bunden;Beviljat;30;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH01482;Kyl- och värmepumpstekniker;Tranås;Distans;Beviljat;25;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH01599;Underhållstekniker;Linköping;Bunden;Beviljat;20;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH01712;Apotekstekniker;Bromma;Distans;Startat;35;47
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH01725;Drifttekniker inom fastighet;Linköping;Bunden;Beviljat;20;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH01749;Digital innehållsproducent;Linköping;Distans;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH01809;Stödpedagog inom funktionshinderområdet;Borgholm, Bromma, Norrtälje;Distans;Startat;35;44
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH01811;Tandsköterska;Stockholm;Bunden;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH01815;Webbutvecklare;Huskvarna;Distans;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH01924;Rekryterings- och bemanningsspecialist;Ljungby, Tranås;Distans;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH01940;Optikerassistent;Helsingborg;Distans;Startat;35;44
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH01944;CAD-konstruktör inom mekanik;Linköping;Bunden;Beviljat;25;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH01971;Automationsingenjör inom drift och service ;Tranås, Vimmerby;Bunden;Beviljat;20;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH02000;Elkonstruktör;Skellefteå;Distans;Beviljat;20;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH02010;IOT - projektör trådlösa nät ;Helsingborg;Distans;Beviljat;20;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH02039;Technical Sales Manager;Huskvarna;Distans;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH02040;Redovisningsekonom;Skellefteå;Bunden;Beviljat;35;
TUC Sweden AB - Yrkeshögskola;Hamnparken 2;Hamnparken 2;57335;Tranås;info@tucsweden.se;0140-444510;YH02045;Data Manager;Bromma;Bunden;Beviljat;35;
